species,competitor,n_change,a_change,larger,sp_pair
SACO,ACWR,0.14527191954238974,0.17621313918966797,a,SACO_ACWR
URLI,ACWR,0.08860226864710052,0.3493508000952924,a,URLI_ACWR
ACWR,FEMI,0.44035245408210966,0.7200626189295655,a,ACWR_FEMI
HOMU,FEMI,0.46894289940158956,0.1063098525730155,n,HOMU_FEMI
PLER,FEMI,0.5655722173870855,0.19431495276061167,n,PLER_FEMI
SACO,FEMI,0.29508053453971983,0.4823752056432081,a,SACO_FEMI
URLI,FEMI,0.35175018543500935,0.10084215856109202,n,URLI_FEMI
ACWR,HOMU,0.02859044531947988,0.37631257730233103,a,ACWR_HOMU
PLER,HOMU,0.0966293179854959,0.4570863725658869,a,PLER_HOMU
SACO,HOMU,0.1738623648618697,0.2306615243711822,a,SACO_HOMU
URLI,HOMU,0.11719271396658038,0.25143996247234224,a,URLI_HOMU
ACWR,PLER,0.1252197633049758,0.6800593046814742,a,ACWR_PLER
SACO,PLER,0.2704916828473656,0.7996255469051975,a,SACO_PLER
URLI,PLER,0.21382203195207616,0.5102379621458464,a,URLI_PLER
URLI,SACO,0.056669650895289414,0.8904043059327053,a,URLI_SACO
